name,Latitude,Longitude
"Space Invader PA_0426, face au pavillon d'Italie",48.816064,2.357022
"Space Invader PA_0427, 10 rue de Tolbiac",48.829912,2.375363
"Space Invader PA_0428, 7 avenue de la Grande ArmÃ©e",48.874504,2.292356
"Space Invader PA_0429, 22 avenue Carnot",48.876277,2.292479
"Space Invader PA_0430, le Comptoire GÃ©nÃ©ral",48.872183,2.36513
"Space Invader PA_0431, rond-point de la porte de Vincennes",48.847269,2.414288
"Space Invader PA_0432 & 573, 24 rue de l'Est",48.871131,2.393294
"Space Invader PA_0433, 33 rue de Sibuet",48.843322,2.402278
"Space Invader PA_0434, 19 rue Lamblardie",48.840725,2.39799
"Space Invader PA_0436, Centre culturel de Serbie",48.860945,2.350814
"Space Invader PA_0437, place du Colonel Fabien",48.877651,2.370595
"Space Invader PA_0438, petite ceinture pont de la rue Manin",48.882949,2.385862
"Space Invader PA_0439, 134 boulevard de Clichy",48.884036,2.32822
"Space Invader PA_0441, 7 rue Gabriel PÃ©ri",48.815533,2.356289
"Space Invader PA_0442, 46 Olivier MÃ©tra",48.87446,2.393054
"Space Invader PA_0443, entrÃ©e sud des Buttes Chaumont",48.87615,2.381094
"Space Invader PA_0444, 14 rue Chaudron",48.883149,2.365842
"Space Invader PA_0445, 181 rue Lafayette",48.880303,2.360816
"Space Invader PA_0446, 174 rue Saint-Maur",48.870261,2.373237
"Space Invader PA_0447, Ã  l'intÃ©rieur d'Artazart",48.87265,2.36377
"Space Invader PA_0448, 80 quai Jemmapes",48.872148,2.365148
"Space Invader PA_0449, 73 rue du Faubourg Saint-HonorÃ©",48.871552,2.314716
"Space Invader PA_0450, 5 rue Volta",48.86477,2.356862
"Space Invader PA_0451 & PA_0654, 39 rue de Charonne",48.853334,2.376638
"Space Invader PA_0452, 5 passage Saint-Antoine",48.852811,2.376367
"Space Invader PA_0453, 24 Ã  32 rue des Amandiers",48.864562,2.389631
"Space Invader PA_0454, Assainissement de Valmy",48.873127,2.363638
"Space Invader PA_0455, 48 rue Mazarine",48.855155,2.337721
"Space Invader PA_0456, 1 place d'IÃ©na",48.8646,2.294413
"Space Invader PA_0458, 16 rue Elise Borey",48.866403,2.390936
"Space Invader PA_0459, mÃ©tro Chevaleret",48.834914,2.36825
"Space Invader PA_0460, 39P rue Louise Weiss",48.834395,2.369952
"Space Invader PA_0461, 5-7 rue Charles Renouvier",48.861765,2.400009
"Space Invader PA_0462, 44 rue de ClÃ©ry",48.868378,2.347578
"Space Invader PA_0464, 6 rue de la Verrerie",48.857053,2.355457
"Space Invader PA_0465, 114 rue de la Roquette",48.856977,2.378546
"Space Invader PA_0466, 51 rue de la Fontaine au Roi",48.868146,2.373402
"Space Invader PA_0467, parc de Belleville",48.871567,2.384969
"Space Invader PA_0468, 65 rue Montorgueil",48.86592,2.34698
"Space Invader PA_0470, 1057 & 1062, 64 rue Tiquetonne",48.864784,2.345683
"Space Invader PA_0471, 83 rue de MÃ©nilmontant",48.868821,2.390091
"Space Invader PA_0472, 11Z rue Gaby Sylvia",48.85904,2.371362
